State,District,Administrative_Level,Designation,Officer_Name,Official_Email,Official_Mobile,Office_Landline,Source_URL,Verified_Date,Data_Status
Tamil Nadu,Chennai,Taluk,Tahsildar,Taluk office: Ambattur,,9445000489,044-26252785,https://chennai.nic.in/mobile-numbers/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Chennai,Taluk,Tahsildar,Taluk office: Egmore,,9445000486,044-28361890,https://chennai.nic.in/mobile-numbers/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Chennai,Taluk,Tahsildar,Taluk office: Maduravoyal,,9384094006,044-23861386,https://chennai.nic.in/mobile-numbers/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Chennai,Taluk,Tahsildar,Taluk office: Mambalam,,9445000488,044-24891464,https://chennai.nic.in/mobile-numbers/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Chennai,Taluk,Tahsildar,Taluk office: Mylapore,,9445000487,044-24331292,https://chennai.nic.in/mobile-numbers/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Chennai,Taluk,Tahsildar,Taluk office: Velachery,,9384094005,044-22431737,https://chennai.nic.in/mobile-numbers/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Chennai,Taluk,Tahsildar,Taluk office: Guindy,,9384094004,044-22351850,https://chennai.nic.in/mobile-numbers/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Chennai,Taluk,Tahsildar,Taluk office: Alandur,,9384094010,044-22320580,https://chennai.nic.in/mobile-numbers/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Chennai,Taluk,Tahsildar,Taluk office: Sholinganallur,,9384094009,044-24501700,https://chennai.nic.in/mobile-numbers/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Ariyalur,Taluk,Tahsildar,Taluk office: Andimadam,,7825873281,04331-242500,https://ariyalur.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Ariyalur,Taluk,Tahsildar,Taluk office: Udayarpalayam,,9445000614,04331-250220,https://ariyalur.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Ariyalur,Taluk,Tahsildar,Taluk office: Sendurai,,9445000615,04329-242320,https://ariyalur.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Ariyalur,Taluk,Tahsildar,Taluk office: Ariyalur,,9445000613,04329-222062,https://ariyalur.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Ariyalur,Revenue Division,RDO,RDO Udayarpalayam,,9445000460,04331-245352,https://ariyalur.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Ariyalur,Revenue Division,RDO,RDO Ariyalur,,9445000459,04329-222058,https://ariyalur.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Chengalpattu,District,District Collector,,collr-cpt@nic.in,9445456000,044-27427412,https://chengalpattu.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Chengalpattu,District,District Revenue Officer,,dro.cpt@tn.gov.in,9445000953,044-27427413,https://chengalpattu.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Chengalpattu,Revenue Division,RDO,RDO Tambaram,rdotbm.tnkpm@nic.in,9384094738,044-22410050,https://chengalpattu.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Chengalpattu,Revenue Division,RDO,RDO Chengalpattu,rdocpt.tnkpm@nic.in,9445000414,044-27426492,https://chengalpattu.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Chengalpattu,Revenue Division,RDO,RDO Madurantakam,rdomdm.tnkpm@nic.in,9445000415,044-27552196,https://chengalpattu.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Chengalpattu,Taluk,Tahsildar,Taluk office: Thiruporur,tahthiruporur.tnkpm@nic.in,9688516123,044-27445072,https://chengalpattu.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Chengalpattu,Taluk,Tahsildar,Taluk office: Madurantakam,tahmdm.tnkpm@nic.in,9444564854,044-27552445,https://chengalpattu.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Chengalpattu,Taluk,Tahsildar,Taluk office: Cheyyur,tahchy.tnkpm@nic.in,8667276684,044-27531144,https://chengalpattu.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Chengalpattu,Taluk,Tahsildar,Taluk office: Tambaram,tahtbm.tnkpm@nic.in,9445000502,044-22382210,https://chengalpattu.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Chengalpattu,Taluk,Tahsildar,Taluk office: Thirukkalukundram,tahtkm.tnkpm@nic.in,9444433143,044-27447494,https://chengalpattu.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Chengalpattu,Taluk,Tahsildar,Taluk office: Pallavaram,,9940445930,044-22652230,https://chengalpattu.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Chengalpattu,Taluk,Tahsildar,Taluk office: Chengalpattu,tahcpt.tnkpm@nic.in,9781084272,044-27432318,https://chengalpattu.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Chengalpattu,Taluk,Tahsildar,Taluk office: Vandalur,,9384094646,044-29535507,https://chengalpattu.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Cuddalore,Taluk,Tahsildar,Taluk office: Srimushnam,,7825873311,04144-245257,https://cuddalore.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Cuddalore,Taluk,Tahsildar,Taluk office: Kattumannarkoil,,9003927728,04144-262053,https://cuddalore.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Cuddalore,Taluk,Tahsildar,Taluk office: Veppur,,9543809145,04143-241250,https://cuddalore.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Cuddalore,Taluk,Tahsildar,Taluk office: Titagudi,,9360021593,04143-255249,https://cuddalore.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Cuddalore,Taluk,Tahsildar,Taluk office: Vriudhachalam,,9789847533,04143-238289,https://cuddalore.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Cuddalore,Taluk,Tahsildar,Taluk office: Bhuvanagiri,,9786959669,04144-240299,https://cuddalore.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Cuddalore,Taluk,Tahsildar,Taluk office: Chidambaram,,9444216903,04144-227866,https://cuddalore.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Cuddalore,Taluk,Tahsildar,Taluk office: Kurinjipadi,,9486680820,04142-258901,https://cuddalore.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Cuddalore,Taluk,Tahsildar,Taluk office: Panruti,,9842939371,04142-242174,https://cuddalore.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Dharmapuri,Revenue Division,R.D.O. Dharmapuri,,rdodpi.tn@nic.in,,04342-260038,https://dharmapuri.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Dharmapuri,Revenue Division,R.D.O Harur,,,,04346-221400,https://dharmapuri.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Dharmapuri,Taluk,Tahsildar-Dharmapuri,,tlkdpi.tn@nic.in,,04342-260927,https://dharmapuri.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Dharmapuri,Taluk,Tahsildar-Pennagaram,,tlkpennagaram.tn@nic.in,,04342-255636,https://dharmapuri.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Dharmapuri,Taluk,Tahsildar-Harur,,tlkharur.tn@nic.in,,04346-222023,https://dharmapuri.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Dharmapuri,Taluk,Tahsildar-Pappireddipatti,,tlkprpatty.tn@nic.in,,04346-246544,https://dharmapuri.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Dharmapuri,Taluk,Tahsildar-Palacode,,tlkpalacode.tn@nic.in,,04348-222045,https://dharmapuri.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Dharmapuri,Taluk,Tahsildar-Nallampalli,,,,04342-244456,https://dharmapuri.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Dharmapuri,Taluk,Tahsildar-Karimangalam,,,,04348-242411,https://dharmapuri.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Dindigul,District,District Collector,,collrdgl@nic.in,9444169000,0451-2461199,https://dindigul.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Dindigul,Revenue Division,District Revenue Officer,,dro.tndgl@nic.in,9445000915,0451-2460300,https://dindigul.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Dindigul,District,"Sub-Collector/RDO, Dindigul",,rdo.tndgl@nic.in,9445000446,0451-2432615,https://dindigul.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Dindigul,District,"Sub-Collector/RDO, Palani",,rdopln.tndgl@nic.in,9445000447,04545-242250,https://dindigul.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Dindigul,District,"Sub-Collector/RDO, Kodaikkanal",,rdokkl.tndgl@nic.in,9445000448,04542-240296,https://dindigul.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Dindigul,Taluk,Tahsildar,Taluk office: Dindigul West,,9445000579,0451-2427304,https://dindigul.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Dindigul,Taluk,Tahsildar,Taluk office: Dindigul East,,9942130514,0451-2471305,https://dindigul.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Dindigul,Taluk,Tahsildar,Taluk office: Natham,,9445000580,04544-244452,https://dindigul.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Dindigul,Taluk,Tahsildar,Taluk office: Nilakottai,,9445000581,04543-233631,https://dindigul.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Dindigul,Taluk,Tahsildar,Taluk office: Athoor,,9384094523,0451-2556212,https://dindigul.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Dindigul,Taluk,Tahsildar,Taluk office: Palani,,9445000582,04545-242266,https://dindigul.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Dindigul,Taluk,Tahsildar,Taluk office: Oddanchatram,,9445000583,04553-241100,https://dindigul.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Dindigul,Taluk,Tahsildar,Taluk office: Vedasandur,,9445000584,04551-260224,https://dindigul.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Dindigul,Taluk,Tahsildar,Taluk office: Gziliamparai,,7395855390,,https://dindigul.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Dindigul,Taluk,Tahsildar,Taluk office: Kodaikanal,,9445000585,04542-240243,https://dindigul.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Kancheepuram,Taluk,Tahsildar,Taluk office: Kancheepuram,tahkpm.tnkpm@nic.in,9445000497,,https://kancheepuram.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Kancheepuram,Taluk,Tahsildar,Taluk office: Sriperumbudur,tahsri.tnkpm@nic.in,9445000499,044-27162231,https://kancheepuram.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Kancheepuram,Taluk,Tahsildar,Taluk office: Uthiramerur,tahuth.tnkpm@nic.in,9445000498,044-27272230,https://kancheepuram.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Kancheepuram,Taluk,Tahsildar,Taluk office: Kundrathur,,9444279499,044-24780449,https://kancheepuram.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Kancheepuram,Taluk,Tahsildar,Taluk office: Walajabad,,9384094643,044-27256090,https://kancheepuram.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Kancheepuram,District,District Revenue Officer,,,9445000903,044-27237945,https://kancheepuram.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Kancheepuram,Revenue Division,RDO Kancheepuram,,,9445000413,,https://kancheepuram.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Kancheepuram,Revenue Division,RDO Sriperumbudur,,rdosrioff.kpm@tn.gov.in,9444964899,044-27162230,https://kancheepuram.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Kanniyakumari,Taluk,Tahsildar,Taluk office: Killiyoor,thrklr.kkm@tn.gov.in,-,-,https://kanniyakumari.nic.in/contactdirectorydatatable/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Kanniyakumari,Taluk,Tahsildar,Taluk office: Thiruvattar,,-,-,https://kanniyakumari.nic.in/contactdirectorydatatable/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Kanniyakumari,Taluk,Tahsildar,Taluk office: Agasteeswaram,tahagm.tnkkm@nic.in,-,4652233167,https://kanniyakumari.nic.in/contactdirectorydatatable/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Kanniyakumari,Taluk,Tahsildar,Taluk office: Thovalai,tahtho.tnkkm@nic.in,9445000688,-,https://kanniyakumari.nic.in/contactdirectorydatatable/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Kanniyakumari,Taluk,Tahsildar,Taluk office: Kalkulam,tahkal.tnkkm@nic.in,-,4651250724,https://kanniyakumari.nic.in/contactdirectorydatatable/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Kanniyakumari,Taluk,Tahsildar,Taluk office: Vilavancode,tahvil.tnkkm@nic.in,-,4651260232,https://kanniyakumari.nic.in/contactdirectorydatatable/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Kanniyakumari,Revenue Division,Sub-Collector,"Sub-Collector, Padmanabhapuram",rdopdm.tnkkm@nic.in,9445000483,,https://kanniyakumari.nic.in/contactdirectorydatatable/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Kanniyakumari,Revenue Division,RDO,"RDO, Nagercoil",rdongl.tnkkm@nic.in,9445000482,,https://kanniyakumari.nic.in/contactdirectorydatatable/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Karur,Taluk,Tahsildar,Taluk office: Karur,talukkar.tnkar@nic.in,9445000598,04324-260745,https://karur.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Karur,Taluk,Tahsildar,Taluk office: Aravakurichi,talukara.tnkar@nic.in,9445000599,04320-230170,https://karur.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Karur,Taluk,Tahsildar,Taluk office: Kulithalai,talukkul.tnkar@nic.in,9445000600,04323-222015,https://karur.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Karur,Taluk,Tahsildar,Taluk office: Krishnarayapuram,talukkrp.tnkar@nic.in,9445000601,04323-243366,https://karur.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Karur,Taluk,Tahsildar,Taluk office: Manmangalam,mantaluk.tnkar@nic.in,9445461817,04324-288334,https://karur.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Karur,Taluk,Tahsildar,Taluk office: Kadavur,kdvtlk.tnkar@nic.in,9384094316,04323-251444,https://karur.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Karur,Taluk,Tahsildar,Taluk office: Pugalur,talukpug-tnkar@nic.in,9384094315,04324-270370,https://karur.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Krishnagiri,Taluk,Tahsildar,Taluk office: Anchetty,,9865710071,,https://krishnagiri.nic.in/directories/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Krishnagiri,Taluk,Tahsildar,Taluk office: Denkanikottai,,9445000542,04347-235042,https://krishnagiri.nic.in/directories/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Krishnagiri,Taluk,Tahsildar,Taluk office: Hosur,,9445000541,04344-222645,https://krishnagiri.nic.in/directories/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Krishnagiri,Taluk,Tahsildar,Taluk office: Shoolagiri,,9442795549,,https://krishnagiri.nic.in/directories/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Krishnagiri,Taluk,Tahsildar,Taluk office: Pochampalli,,9445000540,04341-252373,https://krishnagiri.nic.in/directories/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Krishnagiri,Taluk,Tahsildar,Taluk office: Uthangarai,,9445000539,,https://krishnagiri.nic.in/directories/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Krishnagiri,Taluk,Tahsildar,Taluk office: Bargur,,9597404473,,https://krishnagiri.nic.in/directories/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Krishnagiri,Taluk,Tahsildar,Taluk office: Krishnagiri,,9445000538,,https://krishnagiri.nic.in/directories/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Krishnagiri,Revenue Division,RDO,RDO Krishnagiri,,9445000429,04343-236733,https://krishnagiri.nic.in/directories/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Krishnagiri,Revenue Division,Sub Collector,Sub Collector Hosur,,9445000430,04344-222622,https://krishnagiri.nic.in/directories/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Madurai,Taluk,Tahsildar,Taluk office: Madurai North,,9445000586,0452-2532858,https://madurai.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Madurai,Taluk,Tahsildar,Taluk office: Madurai West,,9445461850,0452-2605300,https://madurai.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Madurai,Taluk,Tahsildar,Taluk office: Vadipatti,,9445000589,04543-254241,https://madurai.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Madurai,Taluk,Tahsildar,Taluk office: Madurai South,,9445000587,0452-2531645,https://madurai.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Madurai,Taluk,Tahsildar,Taluk office: Thirupparankundram,,9445461847,0452-2482311,https://madurai.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Madurai,Revenue Division,RDO,RDO Madurai,,9445000449,0452-2530644,https://madurai.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Madurai,Revenue Division,RDO,RDO Usilampatti,,9445000450,04552-252149,https://madurai.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Madurai,Revenue Division,RDO,RDO Melur,,9385251053,0452-2422823,https://madurai.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Madurai,Revenue Division,RDO,RDO Thirumangalam,,9943110335,04549-293933,https://madurai.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Mayiladuthurai,Taluk,Tahsildar,Taluk office: Tharangambadi,,9445000621,04364-289463,https://mayiladuthurai.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Mayiladuthurai,Taluk,Tahsildar,Taluk office: Sirkali,,9445000622,04364-270324,https://mayiladuthurai.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Mayiladuthurai,Taluk,Tahsildar,Taluk office: Kuthalam,,9486536709,04364-221150,https://mayiladuthurai.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Mayiladuthurai,Taluk,Tahsildar,Taluk office: Tharangambadi,,9445000621,04364-289463,https://mayiladuthurai.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Mayiladuthurai,Taluk,Tahsildar,Taluk office: Sirkali,,9445000622,04364-270324,https://mayiladuthurai.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Mayiladuthurai,Taluk,Tahsildar,Taluk office: Kuthalam,,9486536709,04364-221150,https://mayiladuthurai.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Mayiladuthurai,Taluk,Tahsildar,Taluk office: Mayiladuthurai,,9445000620,,https://mayiladuthurai.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Mayiladuthurai,District,District Revenue Officer,,,,04364-290761,https://mayiladuthurai.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Mayiladuthurai,Revenue Division,RDO Sirkali,,,9994977712,,https://mayiladuthurai.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Mayiladuthurai,Revenue Division,RDO Mayiladuthurai,,,9445000462,,https://mayiladuthurai.nic.in/contact-directory/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
